article_id,category,title,date,content,summary,source_url,source_name,company_tag,keywords,collected_at,has_null,is_duplicate_seed,data_origin
CL-0001,market,"이노비즈협회, 인니 스마트팩토리 인재 130명 양성…“제조혁신 기반 확대 - viva100.com",2026-09-20,"이노비즈협회, 인니 스마트팩토리 인재 130명 양성…“제조혁신 기반 확대 viva100.com","이노비즈협회, 인니 스마트팩토리 인재 130명 양성…“제조혁신 기반 확대 viva100.com",https://news.google.com/rss/articles/CBMiWkFVX3lxTE44ZTQ3SGRzM3NHaEN3OWMzSjdBakJjU3hMS3JDNVJPY0ltQVVxRkZSeURfaE0ydGJNc01oZnB3UlJHaUd2bDh2Ry1VWUtJUHB4eDBjQmg4TDgtdw?oc=5,viva100.com,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0002,market,"포항시, 피지컬 AI․제조AX로 산업혁신 미래 연다…‘2026 스마트 제조 포럼’성료 - 서울경제TV",2026-09-19,"포항시, 피지컬 AI․제조AX로 산업혁신 미래 연다…‘2026 스마트 제조 포럼’성료 서울경제TV","포항시, 피지컬 AI․제조AX로 산업혁신 미래 연다…‘2026 스마트 제조 포럼’성료 서울경제TV",https://news.google.com/rss/articles/CBMiZEFVX3lxTE1hdWJGdTdfZzljd0V4OHBnM1VnRHVlUV9EclNUWWlNTXV5M0ZJRnBGRXNEYk56VC1qNmpEeW9uWjlHZTZWMDFVdHd1eURHeFh3a1ZQaGczQW9pLXRPM09DbHBzOVk?oc=5,서울경제TV,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0003,market,AI 도입만으론 공장 안 바뀐다…제조 현장 AX 실현 전략 웨비나 통해 집중 조명 - 헬로티,2026-09-16,AI 도입만으론 공장 안 바뀐다…제조 현장 AX 실현 전략 웨비나 통해 집중 조명 헬로티,AI 도입만으론 공장 안 바뀐다…제조 현장 AX 실현 전략 웨비나 통해 집중 조명 헬로티,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5PZUxoWHIyZFprSFV1Q29FYm5GQW52MzR3UGRDdThwV2Y4ZUZidjN2aTZwWFpiNk9OMi1FeVpMYWs1a1V6cDJDLWtmbG1YUHdZVDI0ZDRTMF9DNXFVSDNR?oc=5,헬로티,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0004,market,"[특집/향후 10년 한국의 수출을 이끌 차세대 산업 시리즈 No.14 스마트팩토리] “공장이 스스로 판단하고 움직인다”…AI 스마트팩토리, 한국 수출의 새 성장엔진 - 코리아포스트 한글판",2026-09-19,"[특집/향후 10년 한국의 수출을 이끌 차세대 산업 시리즈 No.14 스마트팩토리] “공장이 스스로 판단하고 움직인다”…AI 스마트팩토리, 한국 수출의 새 성장엔진 코리아포스트 한글판","[특집/향후 10년 한국의 수출을 이끌 차세대 산업 시리즈 No.14 스마트팩토리] “공장이 스스로 판단하고 움직인다”…AI 스마트팩토리, 한국 수출의 새 성장엔진 코리아포스트 한글판",https://news.google.com/rss/articles/CBMibkFVX3lxTE05WE83bWV6M3ktak1jZ0xoQnp2cGgxazFmWDZydzR3Nk1zQ050X002ei1WeVNJS1NYamc0TkIzR1YzcHlSX25MVDhHTENUWjVsVy1pSDFwUlJVTllpSTNFTFhxR1dLQ2pKUkJRNm5B?oc=5,코리아포스트 한글판,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0005,market,유일로보틱스 “스마트 팩토리 솔루션 기업에서 다크 팩토리로 역량 확대” - 로봇신문,2026-09-16,유일로보틱스 “스마트 팩토리 솔루션 기업에서 다크 팩토리로 역량 확대” 로봇신문,유일로보틱스 “스마트 팩토리 솔루션 기업에서 다크 팩토리로 역량 확대” 로봇신문,https://news.google.com/rss/articles/CBMibEFVX3lxTE1YWU5aOG4wMmZpMVJ1SXA3SW9peGNnOFFDSEp3b0hSNTlLSmZndmhjTHFDZ240OU9nV1U1SUVMMlI0TmxPajhCXzRHdUNSdThHQ2xqSjNwa1BNM2pfQm9RajUydUdfUjdCTnJaTg?oc=5,로봇신문,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0006,market,경남도 '제조 AI 확산 거점' 스마트공장 현장 목소리 듣는다 - 전자신문,2026-09-15,경남도 '제조 AI 확산 거점' 스마트공장 현장 목소리 듣는다 전자신문,경남도 '제조 AI 확산 거점' 스마트공장 현장 목소리 듣는다 전자신문,https://news.google.com/rss/articles/CBMiTkFVX3lxTE9XNlp6aV9KZGcxbzRRRVZlQ1Y3WEJpMnM5UUdoejJpTmNFNXllcHBfTHBYSkh1Q29rWXhhd09iQ2VsMnIwVF9oSXRrZUxLZw?oc=5,전자신문,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0007,market,촘촘한 제조 현장 데이터로…'피지컬 AI' 글로벌 최강 전략 짠다 - 한국경제,2026-09-17,촘촘한 제조 현장 데이터로…'피지컬 AI' 글로벌 최강 전략 짠다 한국경제,촘촘한 제조 현장 데이터로…'피지컬 AI' 글로벌 최강 전략 짠다 한국경제,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBrM0d4WGlZQWNvZ29mOVJDUVdJcmYyWHg5bDVWeGZXUFJPVWYwblVna29PMzVqZ3RsdVEyTGpKaWIzcHBsMERVY0NWY0tfM0dpemo2WXItVDZCdw?oc=5,한국경제,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0008,market,"유일로보틱스, 스마트 팩토리 제조 솔루션에서 다크 팩토리로 역량 확대 - 머니투데이 - 머니투데이",2026-09-16,"유일로보틱스, 스마트 팩토리 제조 솔루션에서 다크 팩토리로 역량 확대 - 머니투데이 머니투데이","유일로보틱스, 스마트 팩토리 제조 솔루션에서 다크 팩토리로 역량 확대 - 머니투데이 머니투데이",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1MRnpYRGpkeUZQeU9XMU9zb2w1QTNaNG5NZDNCcTJMNFlVdUdYc0RwT3hhbEprYzZ1R3V1ZWFCTDBUXzRKZlFCdWtBbDFWVmU0clhPVGJncEllajREOGVDT3RlV2ZpTWdG0gFuQVVfeXFMTWh5U1pIZmdGYUczUFJkLVV4dDBENFVzd0l2MFJ1OTlCN0VNcFllQ3YwRmpJOHNnRG5Mc0ZVU1I3M2Rwb3JNZ0IxZllndEdaVW5fM2J3SWxaVTRueVlDSnYxUEd2dmt3M0tweUVUaHc?oc=5,머니투데이,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0009,market,포항시 '피지컬 AI·로보틱스·제조 AX 산업 혁신'…스마트 제조 포럼 - 뉴시스,2026-09-17,포항시 '피지컬 AI·로보틱스·제조 AX 산업 혁신'…스마트 제조 포럼 뉴시스,포항시 '피지컬 AI·로보틱스·제조 AX 산업 혁신'…스마트 제조 포럼 뉴시스,https://news.google.com/rss/articles/CBMieEFVX3lxTE4yb2NLYmw1TnQzc1Rqd0YyWDBwYldMX1c1cXVqRURQX3pZXzNPaTF1bUtFWE9zVHJfSVlxQ3JldWpRT08tVlpsTE45TFpaR1VESzRvTWlhZXZMRkxKcmFtZjZ2Z0U1X2xBVjN1N3hfalZwamdDSGNpN9IBeEFVX3lxTE4yb2NLYmw1TnQzc1Rqd0YyWDBwYldMX1c1cXVqRURQX3pZXzNPaTF1bUtFWE9zVHJfSVlxQ3JldWpRT08tVlpsTE45TFpaR1VESzRvTWlhZXZMRkxKcmFtZjZ2Z0U1X2xBVjN1N3hfalZwamdDSGNpNw?oc=5,뉴시스,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0010,market,"포항시, 피지컬 AI·제조AX로 미래 제조혁신 이끈다 - 글로벌경제신문",2026-09-17,"포항시, 피지컬 AI·제조AX로 미래 제조혁신 이끈다 글로벌경제신문","포항시, 피지컬 AI·제조AX로 미래 제조혁신 이끈다 글로벌경제신문",https://news.google.com/rss/articles/CBMicEFVX3lxTFA3VHVoSVl2VTV6Z255OVRhSlgxUk1yQV9ydWhhN0htRTRKMWRZMkxiNW5qWWhsVHhwSDAwNUR2XzZ4Nml4MmRBaUliVjRRYU5nLVdDWmRFYW94R3QyNnRLNVhJdFFnckRSSC1UQTlLSFXSAXBBVV95cUxQN1R1aElZdlU1emdueTlUYUpYMVJNckFfcnVoYTdIbUU0SjFkWTJMYjVuallobFR4cEgwMDVEdl82eDZpeDJkQWlJYlY0UWFOZy1XQ1pkRWFveEd0MjZ0SzVYSXRRZ3JEUkgtVEE5S0hV?oc=5,글로벌경제신문,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
