article_id,category,title,date,content,summary,source_url,source_name,company_tag,keywords,collected_at,has_null,is_duplicate_seed,data_origin,relevance_score,recommendation_reason,matched_tags,rank
CL-0022,market,AI가 주문부터 검사까지…제조업 혁신 이끄는 LS일렉 스마트공장 - edaily.co.kr,2026-09-21,AI가 주문부터 검사까지…제조업 혁신 이끄는 LS일렉 스마트공장 edaily.co.kr,AI가 주문부터 검사까지…제조업 혁신 이끄는 LS일렉 스마트공장 edaily.co.kr,https://news.google.com/rss/articles/CBMigAFBVV95cUxOejk2UzRKbEZwWHVHaE5HcDhRWUEycldWWFVQc0VXWVI5WV9jejdZczdvWUotR2lZVmlOZVFGQTZzUnVnTlQwb3lWNXlSNXZsYzI0MWlFZVlHa3VQLXQxLVZKX09HQUdIc1NrWEJEbktyRFRfZGtGcHlucVJXbUFmTg?oc=5,edaily.co.kr,,스마트팩토리|AI|제조,2026-09-23T03:53:01.738863+00:00,False,False,live_crawl,96,"[시장 전략] 핵심 기술 키워드(AI) 일치 / 제조 AI 정부 지원사업 및 R&D 바우처 수혜 기회 (태그: 제조, ai, AI, 스마트공장)",제조|ai|AI|스마트공장,1
CL-0121,market,"SK하이닉스, AI로 R&D·제조·영업 연결…‘AI 컴퍼니’ 구축 - edaily.co.kr",2026-09-21,"SK하이닉스, AI로 R&D·제조·영업 연결…‘AI 컴퍼니’ 구축 edaily.co.kr","SK하이닉스, AI로 R&D·제조·영업 연결…‘AI 컴퍼니’ 구축 edaily.co.kr",https://news.google.com/rss/articles/CBMigAFBVV95cUxQU0VOM0dFd1VtMmFQQ2JTQ3JJSW1qcENvdWxVX294MHVZSTNTMm9XaHBycHZxc1NzbFBYVGZndjVCaUF2cXlqdi0wQkIzNldRZkFzV3haOHMwc2xxenE1SkNMWWcxTlFLVXZCSnh1TWZ5Q2NYbF85Z3UtVTBuR2ZuSg?oc=5,edaily.co.kr,,제조|AX|공정|자동화,2026-09-23T03:53:02.499973+00:00,False,False,live_crawl,96,"[시장 전략] 핵심 기술 키워드(AI) 일치 / 제조 AI 정부 지원사업 및 R&D 바우처 수혜 기회 (태그: 제조, ai, AI, R&D)",제조|ai|AI|R&D,2
CL-0139,market,"경남도, ‘제조 AX’ 속도 낸다… 올해 AI 스마트공장 281개 추가 구축 - 기계신문",2026-03-17,"경남도, ‘제조 AX’ 속도 낸다… 올해 AI 스마트공장 281개 추가 구축 기계신문","경남도, ‘제조 AX’ 속도 낸다… 올해 AI 스마트공장 281개 추가 구축 기계신문",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5hUml2R0tDQy1ZQ0xZOXkwYjB1UW5OVWRYVEJrS24yalJ4NjBOakxkdGxvWGRPVWFRNXJnZFlhMmZITkF6bWRpU3B3SkVVWUJsX1ZqWkxJcFp0bEx3MmI2R1d5RmlISWc?oc=5,기계신문,,제조|AX|공정|자동화,2026-09-23T03:53:02.499973+00:00,False,False,live_crawl,96,"[시장 전략] 핵심 기술 키워드(AI, 제조 AX) 일치 / 제조 AI 정부 지원사업 및 R&D 바우처 수혜 기회 (태그: 제조, ai, AI, 제조 AX)",제조|ai|AI|제조 AX|스마트공장,3
CL-0395,technology,"세이지, AI 머신비전 품질관리 자동화 솔루션 선보여 - 인더스트리뉴스",2025-11-04,"세이지, AI 머신비전 품질관리 자동화 솔루션 선보여 인더스트리뉴스","세이지, AI 머신비전 품질관리 자동화 솔루션 선보여 인더스트리뉴스",https://news.google.com/rss/articles/CBMickFVX3lxTFBrTnZzTEZNcjMzYjVpYTRyeFg0UFRmdU9aT19Gc1NSYXc5YlBGWEg1RlFBemJvZlBCOHFGTzBMbU53d2hBRnRzX1BGSlRBcVAzc05Relp5WHpCLUNtcjBpb3R4MGhNTUQ3bmdQbkF1eFRsZw?oc=5,인더스트리뉴스,,비전|AI|검사|솔루션,2026-09-23T03:53:05.182681+00:00,False,False,live_crawl,94,"[기술 개발] 핵심 기술 키워드(AI, 머신비전, 자동화) 일치 (태그: 비전, 품질, AI, 머신비전)",비전|품질|AI|머신비전|자동화,4
CL-0425,competitor,"[헬로머신비전] 에프에이플러스, AI 딥러닝 머신비전으로 글로벌 제조 혁신의 선봉에 서다 - 헬로티",2025-08-14,"[헬로머신비전] 에프에이플러스, AI 딥러닝 머신비전으로 글로벌 제조 혁신의 선봉에 서다 헬로티","[헬로머신비전] 에프에이플러스, AI 딥러닝 머신비전으로 글로벌 제조 혁신의 선봉에 서다 헬로티",https://news.google.com/rss/articles/CBMiX0FVX3lxTE1zcjhJaVhLdFcwUklYSlBWX2RIWTdDSnNjSjRRU0E5RjlTYWt0cGNTRDN6TDZYR3ViNk1GdllrQXdnN0RzVTg2NnZVa0NpbmJqYlN6M3JvMEdpYVBDVlE4?oc=5,헬로티,,머신비전|비전검사|솔루션|경쟁사,2026-09-23T03:53:06.354936+00:00,False,False,live_crawl,94,"[경쟁 대응] 비전 인스펙션 및 머신비전 업계 경쟁 구도 파악 / 핵심 기술 키워드(AI, 머신비전) 일치 (태그: 비전, 제조, 경쟁시장동향, AI)",비전|제조|경쟁시장동향|AI|머신비전,5
CL-0199,technology,"임픽스, 산업용 AI 머신비전 개발…""쉽고 빠른 품질검사 가능"" - 한국경제",2023-11-09,"임픽스, 산업용 AI 머신비전 개발…""쉽고 빠른 품질검사 가능"" 한국경제","임픽스, 산업용 AI 머신비전 개발…""쉽고 빠른 품질검사 가능"" 한국경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTFAxUnROM3lDWlU5cUoxNzNEcGM3NnFBYmhtaWw1Z3ZWcFR2R3k4N0xhUmtGTWNTVjRlczYtQ215OUlRSFg2ejI2NHoxQl8wdWlDallUVnlSNk5vUQ?oc=5,한국경제,,머신비전|품질검사|불량탐지,2026-09-23T03:53:03.077456+00:00,False,False,live_crawl,94,"[기술 개발] 핵심 기술 키워드(AI, 머신비전, 품질검사) 일치 (태그: 비전, 품질, AI, 머신비전)",비전|품질|AI|머신비전|품질검사,6
CL-0203,technology,"임픽스, 산업용 AI 머신비전 개발…“쉽고 빠른 품질검사 가능” - 매일경제",2023-11-09,"임픽스, 산업용 AI 머신비전 개발…“쉽고 빠른 품질검사 가능” 매일경제","임픽스, 산업용 AI 머신비전 개발…“쉽고 빠른 품질검사 가능” 매일경제",https://news.google.com/rss/articles/CBMiVkFVX3lxTE91NFd5UVpVZWctTWlrdDBzalUtSkJ3cEV5cDduLU81a2NsTUIwblBZMmFUTlJhbjk1V1NMOGxROGJJaW5hd1NCcTZFS1R0bHhmMTkzV0FB?oc=5,매일경제,,머신비전|품질검사|불량탐지,2026-09-23T03:53:03.077456+00:00,False,False,live_crawl,94,"[기술 개발] 핵심 기술 키워드(AI, 머신비전, 품질검사) 일치 (태그: 비전, 품질, AI, 머신비전)",비전|품질|AI|머신비전|품질검사,7
CL-0323,technology,"스누아이랩, CAD 기반 AI 머신비전 플랫폼 ‘SMVT’ 출시… 스마트팩토리AX 가속 - FA저널",2026-09-18,"스누아이랩, CAD 기반 AI 머신비전 플랫폼 ‘SMVT’ 출시… 스마트팩토리AX 가속 FA저널","스누아이랩, CAD 기반 AI 머신비전 플랫폼 ‘SMVT’ 출시… 스마트팩토리AX 가속 FA저널",https://news.google.com/rss/articles/CBMia0FVX3lxTE9RRkw5SDVMRXMzem5uRVhGYjdCSVFkcjNiWENHVVhoU1p4cVFyNzhCdm1LZTFsLVloclgtUzlTNlBHbVNnclkta2NMa0ZaN0doUnZoSHZnc2ZfOEVYU1Z3bEhaNF9SNG1CQ0lj?oc=5,FA저널,,비전|AI|검사|솔루션,2026-09-23T03:53:05.182681+00:00,False,False,live_crawl,91,"[기술 개발] 핵심 기술 키워드(AI, 머신비전, 스마트팩토리) 일치 (태그: 비전, AI, 머신비전, 스마트팩토리)",비전|AI|머신비전|스마트팩토리,8
CL-0317,technology,"바이슨, AI 머신비전 기술로 베트남 제조시장 공략 - FA저널",2026-09-18,"바이슨, AI 머신비전 기술로 베트남 제조시장 공략 FA저널","바이슨, AI 머신비전 기술로 베트남 제조시장 공략 FA저널",https://news.google.com/rss/articles/CBMia0FVX3lxTFBKbE5VN204dkhtOVc5b0dseVhZV1ZuOW5KRUpmUWhkN01FNUNLeDVVWHNqdGxxMXJiZWhDMS1YRFl1Wm1WZ1d3WmJNdmc1ZDZPTkEtd0lxTUdaVUpzTklnTXoxNnFPcDMySGd3?oc=5,FA저널,,비전|AI|검사|솔루션,2026-09-23T03:53:05.182681+00:00,False,False,live_crawl,89,"[기술 개발] 핵심 기술 키워드(AI, 머신비전) 일치 (태그: 비전, 제조, AI, 머신비전)",비전|제조|AI|머신비전,9
CL-0001,market,창원서 10월 ‘The Next AI 2026’ 개최…제조AI·스마트팩토리 기술 집결 - 헬로티,2026-09-22,창원서 10월 ‘The Next AI 2026’ 개최…제조AI·스마트팩토리 기술 집결 헬로티,창원서 10월 ‘The Next AI 2026’ 개최…제조AI·스마트팩토리 기술 집결 헬로티,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9SWXlzb3Zyd2oyX0lsWHVpdkJ3bWdJYXpMUThDV2s2dTgtX0dCTmszd0pGX1dSbTdMYXRDTjJpNmJPZkFrWUZmdkZMc295OWJOclh1NlEyal9MZlFXUWRz?oc=5,헬로티,,스마트팩토리|AI|제조,2026-09-23T03:53:01.738863+00:00,False,False,live_crawl,86,"[시장 전략] 핵심 기술 키워드(AI, 스마트팩토리) 일치 (태그: 제조, ai, AI, 스마트팩토리)",제조|ai|AI|스마트팩토리,10
