article_id,category,title,date,content,summary,source_url,source_name,company_tag,keywords,collected_at,has_null,is_duplicate_seed,data_origin
CR-0001,market,"“로봇이 만들고 AI가 관리”…K-전력기기, 스마트팩토리 고도화 - 에너지경제신문",2026-09-25,"<a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTE1FeENEa29tSlZ4ODNnRjVTTE04OXJvQ1hrcDVyY2g0a3Zub0d5OW85SkVWdDE5RVIzcm5QX21NSHA3VTBKNGlZVnA4NzFHWHNZSnVGNm9ycnhYV2M?oc=5"" target=""_blank"">“로봇이 만들고 AI가 관리”…K-전력기기, 스마트팩토리 고도화</a>&nbsp;&nbsp;<font color=""#6f6f6f"">에너지경제신문</font>","<a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTE1FeENEa29tSlZ4ODNnRjVTTE04OXJvQ1hrcDVyY2g0a3Zub0d5OW85SkVWdDE5RVIzcm5QX21NSHA3VTBKNGlZVnA4NzFHWHNZSnVGNm9ycnhYV2M?oc=5"" target=""_blank"">“로봇이 만들고 AI가 관리”…K-전력기기, 스마트팩토리 고도화</a>&nbsp;&nbsp;<font color=""#6f6f6f"">에너지경제신문</font>",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1FeENEa29tSlZ4ODNnRjVTTE04OXJvQ1hrcDVyY2g0a3Zub0d5OW85SkVWdDE5RVIzcm5QX21NSHA3VTBKNGlZVnA4NzFHWHNZSnVGNm9ycnhYV2M?oc=5,에너지경제신문,,스마트팩토리|AI|제조,2026-09-26T04:06:09.231493+00:00,False,False,live_crawl
CR-0002,market,창원서 10월 ‘The Next AI 2026’ 개최…제조AI·스마트팩토리 기술 집결 - 헬로티,2026-09-22,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE9SWXlzb3Zyd2oyX0lsWHVpdkJ3bWdJYXpMUThDV2s2dTgtX0dCTmszd0pGX1dSbTdMYXRDTjJpNmJPZkFrWUZmdkZMc295OWJOclh1NlEyal9MZlFXUWRz?oc=5"" target=""_blank"">창원서 10월 ‘The Next AI 2026’ 개최…제조AI·스마트팩토리 기술 집결</a>&nbsp;&nbsp;<font color=""#6f6f6f"">헬로티</font>","<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE9SWXlzb3Zyd2oyX0lsWHVpdkJ3bWdJYXpMUThDV2s2dTgtX0dCTmszd0pGX1dSbTdMYXRDTjJpNmJPZkFrWUZmdkZMc295OWJOclh1NlEyal9MZlFXUWRz?oc=5"" target=""_blank"">창원서 10월 ‘The Next AI 2026’ 개최…제조AI·스마트팩토리 기술 집결</a>&nbsp;&nbsp;<font color=""#6f6f6f"">헬로티</font>",https://news.google.com/rss/articles/CBMiX0FVX3lxTE9SWXlzb3Zyd2oyX0lsWHVpdkJ3bWdJYXpMUThDV2s2dTgtX0dCTmszd0pGX1dSbTdMYXRDTjJpNmJPZkFrWUZmdkZMc295OWJOclh1NlEyal9MZlFXUWRz?oc=5,헬로티,,스마트팩토리|AI|제조,2026-09-26T04:06:09.231493+00:00,False,False,live_crawl
CR-0003,market,"LS일렉트릭, 부산사업장에 보스턴 다이내믹스 ‘스팟’ 도입... AI 스마트팩토리 고도화 - 테크데일리",2026-09-23,"<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTFBkS1JOVkU3LTdqWUhibDkzb2JUZDZfd3djQW1kczB3aFdNdmlCbnl4cWM3Vk02WWE5OHNFbVNMQ2E0VmRITkwwdi1TNGU0dEQwclNOY3JuM2hoMzlESjFZbGVrQnFfS3dwU2V0blBB0gFyQVVfeXFMT25sandLOGV6dkpnSXpXcW9KTE93Q19vQTRsOXFoMXdsZ05LYk9nZkFKM3BCRjdGd2JSTnhPMEFfLXB0Wk45eXZIZ01fdl9PWnp3aV9JQ1BQVGFMLWVkRGFuT1ljM2xBR0E3dXZtY3d5SFhn?oc=5"" target=""_blank"">LS일렉트릭, 부산사업장에 보스턴 다이내믹스 ‘스팟’ 도입... AI 스마트팩토리 고도화</a>&nbsp;&nbsp;<font color=""#6f6f6f"">테크데일리</font>","<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTFBkS1JOVkU3LTdqWUhibDkzb2JUZDZfd3djQW1kczB3aFdNdmlCbnl4cWM3Vk02WWE5OHNFbVNMQ2E0VmRITkwwdi1TNGU0dEQwclNOY3JuM2hoMzlESjFZbGVrQnFfS3dwU2V0blBB0gFyQVVfeXFMT25sandLOGV6dkpnSXpXcW9KTE93Q19vQTRsOXFoMXdsZ05LYk9nZkFKM3BCRjdGd2JSTnhPMEFfLXB0Wk45eXZIZ01fdl9PWnp3aV9JQ1BQVGFMLWVkRGFuT1ljM2xBR0E3dXZtY3d5SFhn?oc=5"" target=""_blank"">LS일렉트릭, 부산사업장에 보스턴 다이내믹스 ‘스팟’ 도입... AI 스마트팩토리 고도화</a>&nbsp;&nbsp;<font color=""#6f6f6f"">테크데일리</font>",https://news.google.com/rss/articles/CBMibkFVX3lxTFBkS1JOVkU3LTdqWUhibDkzb2JUZDZfd3djQW1kczB3aFdNdmlCbnl4cWM3Vk02WWE5OHNFbVNMQ2E0VmRITkwwdi1TNGU0dEQwclNOY3JuM2hoMzlESjFZbGVrQnFfS3dwU2V0blBB0gFyQVVfeXFMT25sandLOGV6dkpnSXpXcW9KTE93Q19vQTRsOXFoMXdsZ05LYk9nZkFKM3BCRjdGd2JSTnhPMEFfLXB0Wk45eXZIZ01fdl9PWnp3aV9JQ1BQVGFMLWVkRGFuT1ljM2xBR0E3dXZtY3d5SFhn?oc=5,테크데일리,,스마트팩토리|AI|제조,2026-09-26T04:06:09.231493+00:00,False,False,live_crawl
CR-0004,market,"유일로보틱스, 고도의 자동화 ‘다크 팩토리’ 실현… AI·로봇 자율제조 확대 - 이코노미톡뉴스",2026-09-20,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE9uOU0wV2p5REFwN1VHa3lYWkJPaWJRTmYzUkdxMHRiVzVEWTJERHFuS1pDTW9SdmVHVWpSZmJ3YUx1Y1REdHdzdEpRYnhGQzNpQ25JYkxoYllVRUhHODRhQmt1Ull3YTdTRWJjSA?oc=5"" target=""_blank"">유일로보틱스, 고도의 자동화 ‘다크 팩토리’ 실현… AI·로봇 자율제조 확대</a>&nbsp;&nbsp;<font color=""#6f6f6f"">이코노미톡뉴스</font>","<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE9uOU0wV2p5REFwN1VHa3lYWkJPaWJRTmYzUkdxMHRiVzVEWTJERHFuS1pDTW9SdmVHVWpSZmJ3YUx1Y1REdHdzdEpRYnhGQzNpQ25JYkxoYllVRUhHODRhQmt1Ull3YTdTRWJjSA?oc=5"" target=""_blank"">유일로보틱스, 고도의 자동화 ‘다크 팩토리’ 실현… AI·로봇 자율제조 확대</a>&nbsp;&nbsp;<font color=""#6f6f6f"">이코노미톡뉴스</font>",https://news.google.com/rss/articles/CBMibEFVX3lxTE9uOU0wV2p5REFwN1VHa3lYWkJPaWJRTmYzUkdxMHRiVzVEWTJERHFuS1pDTW9SdmVHVWpSZmJ3YUx1Y1REdHdzdEpRYnhGQzNpQ25JYkxoYllVRUhHODRhQmt1Ull3YTdTRWJjSA?oc=5,이코노미톡뉴스,,스마트팩토리|AI|제조,2026-09-26T04:06:09.231493+00:00,False,False,live_crawl
CR-0005,market,"현대로템, 항공우주 생산기지에 현대차 스마트팩토리 기술 적용 - 디일렉",2026-09-22,"<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE1TN1VwR0lLcm90X0VJd2tHMi1fRGFIN1IxU1VDYW85NWF6dXJzdC1wRlVsb1RTN2JZM3hBTHB5a2s1bXNaVHBLSWs1ei1ubFlsOXlfTGFLenJnR1ZvMVV4Rk5jODJpZw?oc=5"" target=""_blank"">현대로템, 항공우주 생산기지에 현대차 스마트팩토리 기술 적용</a>&nbsp;&nbsp;<font color=""#6f6f6f"">디일렉</font>","<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE1TN1VwR0lLcm90X0VJd2tHMi1fRGFIN1IxU1VDYW85NWF6dXJzdC1wRlVsb1RTN2JZM3hBTHB5a2s1bXNaVHBLSWs1ei1ubFlsOXlfTGFLenJnR1ZvMVV4Rk5jODJpZw?oc=5"" target=""_blank"">현대로템, 항공우주 생산기지에 현대차 스마트팩토리 기술 적용</a>&nbsp;&nbsp;<font color=""#6f6f6f"">디일렉</font>",https://news.google.com/rss/articles/CBMiZkFVX3lxTE1TN1VwR0lLcm90X0VJd2tHMi1fRGFIN1IxU1VDYW85NWF6dXJzdC1wRlVsb1RTN2JZM3hBTHB5a2s1bXNaVHBLSWs1ei1ubFlsOXlfTGFLenJnR1ZvMVV4Rk5jODJpZw?oc=5,디일렉,,스마트팩토리|AI|제조,2026-09-26T04:06:09.231493+00:00,False,False,live_crawl
CR-0006,market,"현대로템, 항공우주 생산현장에 현대차 AI 스마트팩토리 기술 도입 - 포커스경제",2026-09-22,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE5iNlZLRnl4WER2X2Q3NkRZUmVJVzZLenZYMTVQbnVJTC1NWkx3bTdrdmx1V0I0d18zcXJPVmhCZHhNNU9oeXZCc254SnB5RkV6dGgyNDRhQ2NqQWhRMGw2dWYwZmZnX0R4eEZvV9IBcEFVX3lxTFBNWVhWdjhIV2dKM3ZrVEI1YXVQZjFjR3hhUjBmSkpIb3lCaFUwQjlmVVNZdDRhU2prOVppZm5SQk5LUXlUSzUyVlU2b1E0SFVzcDJXZm9DeE96WHZpX3VBU3B5UmhBWlpKZU1KWnhQRXI?oc=5"" target=""_blank"">현대로템, 항공우주 생산현장에 현대차 AI 스마트팩토리 기술 도입</a>&nbsp;&nbsp;<font color=""#6f6f6f"">포커스경제</font>","<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE5iNlZLRnl4WER2X2Q3NkRZUmVJVzZLenZYMTVQbnVJTC1NWkx3bTdrdmx1V0I0d18zcXJPVmhCZHhNNU9oeXZCc254SnB5RkV6dGgyNDRhQ2NqQWhRMGw2dWYwZmZnX0R4eEZvV9IBcEFVX3lxTFBNWVhWdjhIV2dKM3ZrVEI1YXVQZjFjR3hhUjBmSkpIb3lCaFUwQjlmVVNZdDRhU2prOVppZm5SQk5LUXlUSzUyVlU2b1E0SFVzcDJXZm9DeE96WHZpX3VBU3B5UmhBWlpKZU1KWnhQRXI?oc=5"" target=""_blank"">현대로템, 항공우주 생산현장에 현대차 AI 스마트팩토리 기술 도입</a>&nbsp;&nbsp;<font color=""#6f6f6f"">포커스경제</font>",https://news.google.com/rss/articles/CBMibEFVX3lxTE5iNlZLRnl4WER2X2Q3NkRZUmVJVzZLenZYMTVQbnVJTC1NWkx3bTdrdmx1V0I0d18zcXJPVmhCZHhNNU9oeXZCc254SnB5RkV6dGgyNDRhQ2NqQWhRMGw2dWYwZmZnX0R4eEZvV9IBcEFVX3lxTFBNWVhWdjhIV2dKM3ZrVEI1YXVQZjFjR3hhUjBmSkpIb3lCaFUwQjlmVVNZdDRhU2prOVppZm5SQk5LUXlUSzUyVlU2b1E0SFVzcDJXZm9DeE96WHZpX3VBU3B5UmhBWlpKZU1KWnhQRXI?oc=5,포커스경제,,스마트팩토리|AI|제조,2026-09-26T04:06:09.231493+00:00,False,False,live_crawl
CR-0007,market,"한국기계전, AMXPO로 재편…제조 AI·수출 지원 강화 - 산업종합저널",2026-09-22,"<a href=""https://news.google.com/rss/articles/CBMiU0FVX3lxTE52Q2RiU290dHlPNU9uOEU4MDF5cHl1ck5kckNSTm5sVFlyMkw2aVRxUTg1Yjd2RGVUekxHT1JrMEhQb2xQVjN0ZlZKYU5IWHllMkdr?oc=5"" target=""_blank"">한국기계전, AMXPO로 재편…제조 AI·수출 지원 강화</a>&nbsp;&nbsp;<font color=""#6f6f6f"">산업종합저널</font>","<a href=""https://news.google.com/rss/articles/CBMiU0FVX3lxTE52Q2RiU290dHlPNU9uOEU4MDF5cHl1ck5kckNSTm5sVFlyMkw2aVRxUTg1Yjd2RGVUekxHT1JrMEhQb2xQVjN0ZlZKYU5IWHllMkdr?oc=5"" target=""_blank"">한국기계전, AMXPO로 재편…제조 AI·수출 지원 강화</a>&nbsp;&nbsp;<font color=""#6f6f6f"">산업종합저널</font>",https://news.google.com/rss/articles/CBMiU0FVX3lxTE52Q2RiU290dHlPNU9uOEU4MDF5cHl1ck5kckNSTm5sVFlyMkw2aVRxUTg1Yjd2RGVUekxHT1JrMEhQb2xQVjN0ZlZKYU5IWHllMkdr?oc=5,산업종합저널,,스마트팩토리|AI|제조,2026-09-26T04:06:09.231493+00:00,False,False,live_crawl
CR-0008,market,LS일렉 공장 누비는 스팟… 현실화 된 ‘구자은 스마트팩토리’ - 아시아투데이,2026-09-22,"<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE1qN2JTeEFGTUF4UGZ3NVBQdlFhcXRqbk9qeXBiOXVQMS1IY3dudnh3eWVRcFlqOEJUcjlGZTk5M0dkM3MxYWx1NUloMW1HVk1HVGczcnBEWHpwNjRjTS1KQ0toM2VKUlk3V0pkalhR?oc=5"" target=""_blank"">LS일렉 공장 누비는 스팟… 현실화 된 ‘구자은 스마트팩토리’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아시아투데이</font>","<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE1qN2JTeEFGTUF4UGZ3NVBQdlFhcXRqbk9qeXBiOXVQMS1IY3dudnh3eWVRcFlqOEJUcjlGZTk5M0dkM3MxYWx1NUloMW1HVk1HVGczcnBEWHpwNjRjTS1KQ0toM2VKUlk3V0pkalhR?oc=5"" target=""_blank"">LS일렉 공장 누비는 스팟… 현실화 된 ‘구자은 스마트팩토리’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">아시아투데이</font>",https://news.google.com/rss/articles/CBMibkFVX3lxTE1qN2JTeEFGTUF4UGZ3NVBQdlFhcXRqbk9qeXBiOXVQMS1IY3dudnh3eWVRcFlqOEJUcjlGZTk5M0dkM3MxYWx1NUloMW1HVk1HVGczcnBEWHpwNjRjTS1KQ0toM2VKUlk3V0pkalhR?oc=5,아시아투데이,,스마트팩토리|AI|제조,2026-09-26T04:06:09.231493+00:00,False,False,live_crawl
CR-0009,market,"현대로템, 항공우주 ‘양산 체질’ 바꾼다…현대차 스마트팩토리 이식 - 매일일보",2026-09-22,"<a href=""https://news.google.com/rss/articles/CBMiZEFVX3lxTE5QT3VacTNzYTZCY1QxWWJrbVFhSDZvNzdEVTA0anladDF5em1qQW1uRll3c1FuV20wanFQRkNNYTRiaEFVeF9PZ0d3RDNlZy1WUzNGWmtCZDR6YmQ2aVNpeVhyN2zSAWhBVV95cUxNcnFud2NiVUxobkVjQjN1RkZmWUZ0a3F0SDVvdEdudTVpemRqMHZCdW5ZWDdrSE5qbVNxVlFCRWoyRElRelhyU1hJSDkxU1B1VVJxVG1OUzY5d3pCSGRwblhyemxSN2ptTw?oc=5"" target=""_blank"">현대로템, 항공우주 ‘양산 체질’ 바꾼다…현대차 스마트팩토리 이식</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일일보</font>","<a href=""https://news.google.com/rss/articles/CBMiZEFVX3lxTE5QT3VacTNzYTZCY1QxWWJrbVFhSDZvNzdEVTA0anladDF5em1qQW1uRll3c1FuV20wanFQRkNNYTRiaEFVeF9PZ0d3RDNlZy1WUzNGWmtCZDR6YmQ2aVNpeVhyN2zSAWhBVV95cUxNcnFud2NiVUxobkVjQjN1RkZmWUZ0a3F0SDVvdEdudTVpemRqMHZCdW5ZWDdrSE5qbVNxVlFCRWoyRElRelhyU1hJSDkxU1B1VVJxVG1OUzY5d3pCSGRwblhyemxSN2ptTw?oc=5"" target=""_blank"">현대로템, 항공우주 ‘양산 체질’ 바꾼다…현대차 스마트팩토리 이식</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일일보</font>",https://news.google.com/rss/articles/CBMiZEFVX3lxTE5QT3VacTNzYTZCY1QxWWJrbVFhSDZvNzdEVTA0anladDF5em1qQW1uRll3c1FuV20wanFQRkNNYTRiaEFVeF9PZ0d3RDNlZy1WUzNGWmtCZDR6YmQ2aVNpeVhyN2zSAWhBVV95cUxNcnFud2NiVUxobkVjQjN1RkZmWUZ0a3F0SDVvdEdudTVpemRqMHZCdW5ZWDdrSE5qbVNxVlFCRWoyRElRelhyU1hJSDkxU1B1VVJxVG1OUzY5d3pCSGRwblhyemxSN2ptTw?oc=5,매일일보,,스마트팩토리|AI|제조,2026-09-26T04:06:09.231493+00:00,False,False,live_crawl
CR-0010,market,제조현장 파고드는 AI…스마트팩토리서 '자율공장'으로 영역 넓힌다 - 더트래커,2026-09-09,"<a href=""https://news.google.com/rss/articles/CBMiWEFVX3lxTE9abEl4WFA4NHZZNHNvLVF0YkRrbkZCX2wteEtOZTNWYXdEQjlLRFVoeWwzQnhRSnk3UFRHQjlBX3ZNbHkyeU9jcGFWdU1OU2NiSERqZEdJR2s?oc=5"" target=""_blank"">제조현장 파고드는 AI…스마트팩토리서 '자율공장'으로 영역 넓힌다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">더트래커</font>","<a href=""https://news.google.com/rss/articles/CBMiWEFVX3lxTE9abEl4WFA4NHZZNHNvLVF0YkRrbkZCX2wteEtOZTNWYXdEQjlLRFVoeWwzQnhRSnk3UFRHQjlBX3ZNbHkyeU9jcGFWdU1OU2NiSERqZEdJR2s?oc=5"" target=""_blank"">제조현장 파고드는 AI…스마트팩토리서 '자율공장'으로 영역 넓힌다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">더트래커</font>",https://news.google.com/rss/articles/CBMiWEFVX3lxTE9abEl4WFA4NHZZNHNvLVF0YkRrbkZCX2wteEtOZTNWYXdEQjlLRFVoeWwzQnhRSnk3UFRHQjlBX3ZNbHkyeU9jcGFWdU1OU2NiSERqZEdJR2s?oc=5,더트래커,,스마트팩토리|AI|제조,2026-09-26T04:06:09.231493+00:00,False,False,live_crawl
